"","vereda_code","vereda","bogota","santiago","tecnicafe"
"1371","41306038","quebraditas",0.688832399082377,0.139517350496365,0.671932108041913
"1372","41306046","ventanas",0.615976535134657,0.155788536048198,0.603211941194182
"1373","41319005","betania",0.338111221663562,0.18018519620103,0.278754714202161
"1374","41319016","el paraiso",0.351970847650715,0.169421040978825,0.299350049136198
"1375","41319024","la cabana",0.333485061832195,0.247232238105909,0.265883593399632
"1376","41319026","la esmeralda",0.31790226074869,0.186987137782843,0.263547293701191
"1377","41319027","la esperanza",0.447626577191201,0.0953054807287126,0.399396871717372
"1378","41319028","la florida",0.469846847438174,0.0509994423679401,0.416557023957644
"1379","41319035","los pinos",0.466747295118993,0.0762388146106695,0.400215620473563
"1380","41319047","sinai",0.375610739820243,0.141795845598004,0.339159222372795
"1381","41349002","centro",0.772338981536989,-0.0391334187315481,0.78543173953411
"1382","41357013","el rosario",0.751621770256728,0.0692631044124613,0.806869505111802
"1383","41357034","san isidro",0.72924139412544,0.0560576431290957,0.812641892576869
"1384","41357036","santa barbara",0.74529294840569,-0.0329808548514241,0.790790388115745
"1385","41357038","santa rosa",0.740620123043012,0.107832391776087,0.790726104564432
"1386","41357041","los alpes",0.751236951527034,0.0761966858980968,0.810092312803637
"1387","41359011","belen",0.0405083105831349,0.135573224458349,0.0581597293618593
"1388","41359013","betania",-0.00319140425141056,0.116694952653589,0.0604726110927222
"1389","41359021","canaveral",0.0152587626027863,0.0921255552566363,0.0637680842551582
"1390","41359028","guacas",-0.00529963519390208,0.0759116720029574,0.062139621040007
"1391","41359045","primavera",-0.017886520914782,0.0349638048168201,0.0391074679637972
"1392","41359055","sinai",0.093520203311851,0.049027288465825,0.127401215942565
"1393","41378006","betania",0.509730963730252,0.206236395064951,0.536809491677129
"1394","41378010","el paraiso",0.611061750036249,0.129720870424985,0.660995669127885
"1395","41378013","el rosario",0.366955845403746,0.151072956220336,0.454853818259552
"1396","41378015","la esperanza",0.387474529807014,0.14582879887586,0.452708273644583
"1397","41378027","sinai",0.45209299363801,0.15181781746497,0.442598649817845
"1398","41396016","belen",0.39945654585959,0.197553828232033,0.496729867755431
"1399","41396018","bella vista",0.632687298884377,0.0716840139063112,0.675316793752587
"1400","41396019","betania",0.572291029157574,0.281206934555654,0.620609976729846
"1401","41396041","el paraiso",0.731520552274021,0.110459378938698,0.689035086452855
"1402","41396047","el rosal",0.579549091589769,0.245693269400177,0.662177215369835
"1403","41396049","el tablon",0.704256000755693,0.161104020550528,0.700622700980562
"1404","41396051","fatima",0.687019809911387,0.197181781523834,0.693187093458362
"1405","41396058","la esmeralda",0.609809768287961,0.118097432772478,0.651118241688135
"1406","41396059","la esperanza",0.637824780173763,0.26117071804477,0.662504711949271
"1407","41396060","la estacion",0.33631268032163,0.221054252479345,0.458182373823783
"1408","41396061","la estrella",0.594888854400372,0.249712939741387,0.646994569773967
"1409","41396062","la florida",0.400939756959908,0.23259385060868,0.510254155443687
"1410","41396065","la maria",0.334847085624561,0.216863243640883,0.447352645111911
"1411","41396069","la palma",0.609747444800691,0.13872784352057,0.65108067259852
"1412","41396071","la union",0.340414871861531,0.25597013223797,0.454236656520064
"1413","41396077","los alpes",0.61958738900719,0.161143607436844,0.656697819501757
"1414","41396086","san isidro",0.719778819760979,0.137110118465137,0.68037433178598
"1415","41483002","la estrella",0.730280152398641,0.0895633914915703,0.746353713907319
"1416","41483006","la cabana",0.727976916665725,0.11014179088589,0.740704970298494
"1417","41483007","san isidro",0.732502809105027,0.0694665894791456,0.771228704504863
"1418","41483014","la esmeralda",0.711782408671697,0.0839422326321711,0.766006619913526
"1419","41503007","el cerro",0.290897850184519,0.182453599875591,0.376817310922608
"1420","41503010","el tablon",0.356681880946003,0.00231259893440832,0.31558793233218
"1421","41503011","fatima",0.351866084545079,-0.0571888491837769,0.275951350863544
"1422","41503012","la cabana",0.349546717231755,0.0285308518138898,0.3219406256282
"1423","41503013","la esmeralda",0.286499510740958,-0.0165651470252016,0.269754680451379
"1424","41503014","la esperanza",0.356681880946003,0.00231259893440832,0.31558793233218
"1425","41503024","san roque",0.34028113583208,0.0689734567143947,0.340792940558668
"1426","41503025","santa rosa",0.351866084545079,-0.0571888491837769,0.275951350863544
"1427","41518002","caloto",0.772748306889627,0.0705371958848469,0.698721195450442
"1428","41518019","primavera",0.771878302850507,0.0698108629773209,0.684819944237408
"1429","41518020","san isidro",0.772748306889627,0.0705371958848469,0.698721195450442
"1430","41518023","santa ines",0.774172805248653,0.138871552877743,0.688005088547052
"1431","41524004","betania",0.810045030256008,-0.0465759928623678,0.855224213235416
"1432","41524016","el tablon",0.786691626554193,-0.0437575351906871,0.854383939121552
"1433","41524020","fatima",0.802123928309388,-0.0337867321626,0.859488224549136
"1434","41524023","la florida",0.778293095952775,-0.0236442901572316,0.833320177797076
"1435","41524029","los pinos",0.765783042231079,-0.0270148869575327,0.835024633672135
